Incident_ID,Call_Received_Time,Dispatch_Time,Unit_Enroute_Time,Arrival_Time,Dispatch_Delay_min,Travel_Time_min,Response_Time_min,Exceeded_8min_SLA,Latitude,Longitude,Zone,Incident_Type,Severity_Level,Priority,Station_ID,Unit_ID,Distance_Covered_km,Outcome,Hour_of_Day,Day_of_Week,Is_Peak_Hour,response_time_min,travel_time_min,priority,unit_status,station_id,vehicle_id
INC-2024-00001,16-10-2024 03:07,16-10-2024 03:10,16-10-2024 03:11,16-10-2024 03:17,3.1,6.2,10.6,Yes,18.480122,73.816784,Swargate,Structure Fire,3,High,FS-04,UNIT-030,6.11,Controlled,3,Wednesday,No,7.5,6.250842713,High,busy,2,V0
INC-2023-00002,26-01-2023 12:47,26-01-2023 12:48,26-01-2023 12:49,26-01-2023 12:52,1.4,2.7,5.4,No,18.522829,73.871139,Viman Nagar,Medical Emergency,3,High,FS-06,UNIT-030,1.84,Extinguished,12,Thursday,No,4,3.510327767,Low,busy,3,V1
INC-2023-00003,09-10-2023 15:15,09-10-2023 15:16,09-10-2023 15:16,09-10-2023 15:25,1,9.5,10.9,Yes,18.569792,73.890913,Viman Nagar,Structure Fire,3,High,FS-01,UNIT-026,8.59,Controlled,15,Monday,No,9.9,8.115055665,High,busy,5,V2
INC-2023-00004,17-08-2023 01:08,17-08-2023 01:11,17-08-2023 01:11,17-08-2023 01:18,3.2,6.3,10.2,Yes,18.549677,73.777574,Pimpri,Medical Emergency,3,High,FS-02,UNIT-004,4.79,Controlled,1,Thursday,No,7,5.268949768,Low,out_of_service,4,V3
INC-2023-00005,15-04-2023 06:43,15-04-2023 06:45,15-04-2023 06:46,15-04-2023 06:50,2.8,4.6,7.8,No,18.51328,73.843226,Kothrud,False Alarm,1,Low,FS-02,UNIT-015,3.19,False Alarm Confirmed,6,Saturday,No,5,4.127373852,Low,busy,2,V4
INC-2024-00006,12-07-2024 07:05,12-07-2024 07:07,12-07-2024 07:08,12-07-2024 07:17,2.9,9.4,12.7,Yes,18.4498,73.906791,Hadapsar,Medical Emergency,3,High,FS-03,UNIT-019,5.63,Extinguished,7,Friday,No,9.8,7.160148772,Low,out_of_service,6,V5
INC-2024-00007,27-08-2024 15:27,27-08-2024 15:30,27-08-2024 15:30,27-08-2024 15:35,3.3,4.5,8.2,Yes,18.552412,73.775362,Pimpri,False Alarm,1,Low,FS-03,UNIT-012,2.98,False Alarm Confirmed,15,Tuesday,No,4.9,3.602292503,Low,available,4,V6
INC-2023-00008,02-02-2023 17:01,02-02-2023 17:03,02-02-2023 17:05,02-02-2023 17:15,2.8,10.3,14.4,Yes,18.47892,73.805053,Katraj,Structure Fire,3,High,FS-02,UNIT-028,7.35,Controlled,17,Thursday,Yes,11.6,8.39536744,High,busy,7,V7
INC-2023-00009,06-04-2023 21:13,06-04-2023 21:14,06-04-2023 21:15,06-04-2023 21:22,1.2,6.8,9,Yes,18.499119,73.872337,Shivajinagar,Medical Emergency,3,High,FS-03,UNIT-019,3.66,Controlled,21,Thursday,No,7.8,6.672012096,Low,busy,7,V8
INC-2023-00010,27-08-2023 19:32,27-08-2023 19:34,27-08-2023 19:36,27-08-2023 19:46,2.7,9.6,14.1,Yes,18.517522,73.847373,Kothrud,False Alarm,1,Low,FS-06,UNIT-001,9.1,False Alarm Confirmed,19,Sunday,Yes,11.4,9.200535,Low,available,6,V9
INC-2024-00011,08-09-2024 14:01,08-09-2024 14:03,08-09-2024 14:04,08-09-2024 14:08,2,3.5,7,No,18.511159,73.869714,Viman Nagar,Structure Fire,3,High,FS-01,UNIT-020,2.04,Controlled,14,Sunday,No,5,3.893567482,High,available,2,V10
INC-2024-00012,28-07-2024 02:12,28-07-2024 02:15,28-07-2024 02:16,28-07-2024 02:19,3.4,2.4,7,No,18.481218,73.829602,Kothrud,Vehicle Fire,2,Medium,FS-01,UNIT-001,1.53,Extinguished,2,Sunday,No,3.6,2.564845775,High,busy,5,V11
INC-2024-00013,27-10-2024 15:44,27-10-2024 15:44,27-10-2024 15:45,27-10-2024 15:49,0.7,3.8,5.4,No,18.527519,73.802205,Pimpri,Medical Emergency,3,High,FS-02,UNIT-006,2.79,Controlled,15,Sunday,No,4.7,3.374710864,Low,busy,7,V12
INC-2024-00014,12-07-2024 17:26,12-07-2024 17:29,12-07-2024 17:30,12-07-2024 17:35,3.1,5.4,9.4,Yes,18.463358,73.925673,Hadapsar,Medical Emergency,3,High,FS-04,UNIT-009,3.64,Extinguished,17,Friday,Yes,6.3,4.481902537,Low,out_of_service,6,V13
INC-2023-00015,14-08-2023 20:28,14-08-2023 20:31,14-08-2023 20:32,14-08-2023 20:40,3,8.5,12.9,Yes,18.485051,73.807169,Swargate,False Alarm,1,Low,FS-04,UNIT-017,6.61,False Alarm Confirmed,20,Monday,No,9.9,7.128188428,Low,available,2,V14
INC-2024-00016,26-08-2024 11:17,26-08-2024 11:19,26-08-2024 11:21,26-08-2024 11:30,2.7,8.7,13.2,Yes,18.535298,73.896727,Viman Nagar,Wildland Fire,3,High,FS-03,UNIT-017,7.14,Controlled,11,Monday,No,10.5,9.099653836,High,enroute,2,V15
INC-2023-00017,07-01-2023 08:48,07-01-2023 08:50,07-01-2023 08:51,07-01-2023 09:00,2.1,8.8,12.4,Yes,18.514396,73.819285,Kothrud,Structure Fire,3,High,FS-05,UNIT-016,5.44,Extinguished,8,Saturday,Yes,10.3,8.158630508,High,enroute,1,V16
INC-2023-00018,13-06-2023 06:44,13-06-2023 06:46,13-06-2023 06:47,13-06-2023 06:51,2.5,4,7.3,No,18.486367,73.804108,Katraj,Road Accident,2,Medium,FS-05,UNIT-019,3.95,Contained,6,Tuesday,No,4.8,4.20746066,Low,enroute,8,V17
INC-2024-00019,08-03-2024 16:21,08-03-2024 16:25,08-03-2024 16:26,08-03-2024 16:32,4.5,6,11.2,Yes,18.480954,73.81729,Kothrud,Road Accident,2,Medium,FS-01,UNIT-017,4.72,Patient Stabilized,16,Friday,No,6.7,5.985013026,Low,busy,4,V18
INC-2023-00020,12-10-2023 22:09,12-10-2023 22:13,12-10-2023 22:14,12-10-2023 22:19,4.4,5.1,10.3,Yes,18.508138,73.841105,Kothrud,Electrical Fire,2,Medium,FS-03,UNIT-018,4.72,Controlled,22,Thursday,No,5.9,4.352555202,High,out_of_service,1,V19
