incident_id,incident_time,incident_start,incident_end,response_time_seconds,lat,lng,station_id,station_name,call_type,alarm_level,priority_code,dispatch_zone,locality,distance_km_est,route_distance_meters,route_duration_seconds,modeled_current_response_seconds
CAD-F-202502-0001,2025-02-01T05:41:31,2025-02-01T05:42:04,2025-02-01T05:50:38,514,18.6232,73.820011,FS-208,Bhosari Station,Electrical Fire,2,1,Z-4,Chinchwad,4.626,4626.39,452.35,514
CAD-F-202510-0002,2025-10-13T19:38:32,2025-10-13T19:40:10,2025-10-13T19:47:46,456,18.517588,73.943667,FS-203,Hadapsar Station,Structure Fire,1,1,Z-3,Kharadi,3.84,3840.37,289.54,456
CAD-F-202509-0003,2025-09-13T22:21:26,2025-09-13T22:22:53,2025-09-13T22:31:31,518,18.616001,73.873563,FS-208,Bhosari Station,Electrical Fire,1,2,Z-5,Pimpri,5.713,5712.97,452.4,518
CAD-F-202512-0004,2025-12-03T22:44:24,2025-12-03T22:45:30,2025-12-03T22:53:11,461,18.539255,73.86734,FS-201,Shivajinagar Station,Residential Alarm,1,1,Z-1,Hadapsar,3.299,3298.7,384.84,461
CAD-F-202507-0005,2025-07-26T12:40:09,2025-07-26T12:41:15,2025-07-26T12:46:21,306,18.514197,73.837212,FS-201,Shivajinagar Station,Commercial Fire,1,3,Z-1,Pimpri,3.232,3231.59,266.57,306
CAD-F-202503-0006,2025-03-29T07:40:49,2025-03-29T07:42:35,2025-03-29T07:52:37,602,18.646334,73.807249,FS-207,Nigdi Station,Structure Fire,2,3,Z-4,Kothrud,6.102,6102.24,433.4,602
CAD-F-202507-0007,2025-07-04T07:34:14,2025-07-04T07:34:47,2025-07-04T07:44:01,554,18.637607,73.790711,FS-207,Nigdi Station,Commercial Fire,1,2,Z-4,Kothrud,5.064,5063.68,388.24,554
CAD-F-202502-0008,2025-02-03T09:33:36,2025-02-03T09:35:07,2025-02-03T09:44:10,543,18.647255,73.816069,FS-207,Nigdi Station,Residential Alarm,1,2,Z-4,Shivajinagar,6.13,6129.77,428.35,543
CAD-F-202511-0009,2025-11-09T09:16:26,2025-11-09T09:17:10,2025-11-09T09:37:07,1197,18.594334,73.855933,FS-208,Bhosari Station,Vehicle Fire,2,3,Z-5,Nigdi,9.231,9231.43,972.23,1197
CAD-F-202505-0010,2025-05-03T05:01:46,2025-05-03T05:02:19,2025-05-03T05:10:37,498,18.561136,73.899114,FS-205,Kharadi Station,Residential Alarm,1,2,Z-2,Bhosari,6.402,6402.0,408.55,498
CAD-F-202503-0011,2025-03-02T09:22:41,2025-03-02T09:23:56,2025-03-02T09:31:14,438,18.539931,73.872969,FS-201,Shivajinagar Station,Residential Alarm,1,1,Z-1,Nigdi,4.268,4267.57,337.63,438
