incidentId,type,lat,lng,nearestStationId,nearestStationType,minDurationSeconds,minDurationMinutes
1,hospital,19.127198,72.929389,2,police,550,9.2
2,fire,19.023292,72.87997,5,hospital,506,8.4
3,fire,19.020016,72.798698,5,hospital,692,11.5
4,hospital,19.197963,72.852292,12,fire,765,12.8
5,hospital,19.070818,72.877548,2,police,77,1.3
6,crime,18.952015,72.798592,1,police,609,10.2
7,crime,19.129778,72.816569,6,hospital,626,10.4
8,crime,19.030099,72.870266,5,hospital,460,7.7
9,fire,19.031208,72.93213,2,police,669,11.2
10,fire,19.13036,72.888951,6,hospital,418,7.0
11,fire,19.164301,72.800659,6,hospital,1458,24.3
12,hospital,18.905871,72.774646,,,,
13,fire,19.190761,72.876527,12,fire,1007,16.8
14,crime,19.207906,72.898153,12,fire,1138,19.0
15,fire,19.104119,72.79182,,,,
16,fire,18.955395,72.854162,1,police,782,13.0
17,fire,19.067596,72.90293,2,police,224,3.7
18,fire,19.147842,72.916589,6,hospital,1035,17.2
19,crime,19.165709,72.836755,6,hospital,782,13.0
20,fire,19.069617,72.984558,8,hospital,478,8.0
21,hospital,19.14219,72.914139,6,hospital,869,14.5
22,crime,19.155211,72.793142,6,hospital,1637,27.3
23,hospital,19.124974,72.883401,6,hospital,319,5.3
24,hospital,19.180714,72.825862,6,hospital,1310,21.8
25,hospital,19.028185,72.936287,2,police,672,11.2
26,hospital,18.926648,72.939112,8,hospital,2067,34.4
27,hospital,18.939728,72.822121,1,police,285,4.8
28,fire,18.891916,72.81315,1,police,503,8.4
29,hospital,18.952714,72.781316,1,police,715,11.9
30,fire,18.914941,72.811361,1,police,468,7.8
31,hospital,19.015759,72.853286,5,hospital,97,1.6
32,fire,18.930466,72.815179,1,police,316,5.3
33,fire,19.02702,72.954874,2,police,789,13.1
34,fire,19.111055,72.873415,6,hospital,110,1.8
35,hospital,19.021443,72.912232,5,hospital,897,14.9
36,fire,18.932827,72.852264,1,police,2287,38.1
37,hospital,18.95936,72.934355,1,police,7921,132.0
38,fire,19.181895,72.859299,6,hospital,582,9.7
39,hospital,19.020722,72.942064,2,police,947,15.8
40,crime,19.099055,72.909217,2,police,450,7.5
41,crime,19.133729,72.914397,6,hospital,712,11.9
42,fire,19.130017,72.883406,6,hospital,231,3.8
43,hospital,18.933777,72.837181,1,police,73,1.2
44,fire,19.114584,72.920994,2,police,479,8.0
45,fire,19.006025,72.872212,5,hospital,419,7.0
46,hospital,19.045938,72.90095,2,police,384,6.4
47,fire,19.077568,72.783672,,,,
48,hospital,19.070027,72.959462,2,police,478,8.0
49,fire,18.948541,72.875781,1,police,2210,36.8
50,hospital,19.136593,72.927949,2,police,708,11.8
51,crime,19.039856,72.940476,2,police,581,9.7
52,fire,19.190875,72.974412,3,police,128,2.1
53,crime,19.062685,72.915355,2,police,290,4.8
54,crime,19.041989,72.989347,8,hospital,399,6.7
55,crime,19.005191,72.883284,5,hospital,774,12.9
56,fire,19.084045,72.890911,2,police,173,2.9
57,crime,19.20088,72.972664,3,police,48,0.8
58,hospital,19.181011,72.784773,6,hospital,1366,22.8
59,fire,19.010399,72.813795,5,hospital,656,10.9
60,crime,19.173685,72.894765,6,hospital,986,16.4
61,hospital,19.178856,72.850564,6,hospital,678,11.3
62,fire,18.930715,72.821376,1,police,289,4.8
63,hospital,19.120664,72.862916,6,hospital,140,2.3
64,fire,19.195002,72.978486,3,police,144,2.4
65,crime,19.023953,72.794461,5,hospital,706,11.8
66,hospital,19.084864,72.814575,2,police,627,10.5
67,fire,19.011667,72.896841,5,hospital,603,10.0
68,fire,18.900036,72.945803,8,hospital,1955,32.6
69,fire,18.965639,72.892956,1,police,3837,63.9
70,fire,19.093798,72.894077,2,police,322,5.4
71,crime,18.895937,72.913687,8,hospital,2169,36.1
72,hospital,18.920836,72.895903,8,hospital,4558,76.0
73,crime,19.043965,72.821202,2,police,569,9.5
74,crime,18.93777,72.964825,8,hospital,1573,26.2
75,fire,19.019873,72.774041,,,,
76,fire,18.970756,72.877977,1,police,2859,47.7
77,fire,19.051775,72.938806,2,police,472,7.9
78,fire,19.033647,72.881388,5,hospital,428,7.1
79,hospital,18.923099,72.961689,8,hospital,1408,23.5
80,fire,19.143013,72.96599,3,police,701,11.7
81,fire,18.955186,72.78847,1,police,682,11.4
82,crime,19.14772,72.975607,3,police,810,13.5
83,hospital,19.159096,72.840893,6,hospital,638,10.6
84,fire,19.02897,72.798118,5,hospital,739,12.3
85,fire,18.910756,72.820804,1,police,389,6.5
86,fire,19.147272,72.907612,6,hospital,665,11.1
87,crime,19.153429,72.986483,10,fire,152,2.5
88,fire,19.130569,72.798891,6,hospital,1929,32.2
89,crime,19.124759,72.895324,6,hospital,457,7.6
90,fire,18.922969,72.988445,8,hospital,1397,23.3
91,hospital,18.910396,72.921904,8,hospital,1903,31.7
92,fire,19.084165,72.978026,8,hospital,489,8.1
93,crime,18.976046,72.902105,1,police,4729,78.8
94,crime,19.107279,72.860516,6,hospital,198,3.3
95,hospital,19.023462,72.785679,,,,
96,crime,18.898506,72.854488,1,police,5013,83.5
97,crime,18.985866,72.83588,5,hospital,300,5.0
98,fire,19.141635,72.982839,10,fire,344,5.7
99,fire,19.084096,72.869425,2,police,117,1.9
100,hospital,18.909734,72.785786,,,,
101,crime,18.937271,72.932337,8,hospital,2015,33.6
102,hospital,19.158134,72.851519,6,hospital,531,8.9
103,crime,19.090961,72.870782,2,police,209,3.5
104,crime,19.174599,72.887718,6,hospital,1154,19.2
105,hospital,19.113022,72.801728,,,,
106,crime,19.177847,72.843636,6,hospital,730,12.2
107,crime,18.940304,72.925549,8,hospital,2035,33.9
108,fire,19.168859,72.946759,3,police,489,8.2
109,fire,19.035655,72.831023,5,hospital,397,6.6
110,hospital,19.029207,72.770048,,,,
111,hospital,19.161673,72.81559,6,hospital,1119,18.7
112,fire,19.120038,72.88688,6,hospital,355,5.9
113,fire,19.158561,72.897413,6,hospital,1233,20.6
114,fire,18.954688,72.857687,1,police,1047,17.5
115,fire,19.206808,72.860246,12,fire,700,11.7
116,fire,18.960645,72.789672,1,police,660,11.0
117,crime,18.996967,72.925546,5,hospital,636,10.6
118,hospital,19.175625,72.968983,3,police,228,3.8
119,fire,18.947376,72.830783,1,police,188,3.1
120,crime,19.093468,72.854204,6,hospital,532,8.9
121,hospital,19.118581,72.812455,6,hospital,678,11.3
122,crime,19.143348,72.778887,6,hospital,1716,28.6
123,hospital,19.04882,72.985177,8,hospital,386,6.4
124,fire,19.177693,72.783259,6,hospital,1473,24.5
125,crime,19.004986,72.980111,5,hospital,842,14.0
126,hospital,18.973099,72.96391,8,hospital,1499,25.0
127,crime,19.187312,72.821569,6,hospital,1175,19.6
128,crime,19.177934,72.792165,6,hospital,1366,22.8
129,crime,19.010455,72.980408,,,,
130,crime,18.942483,72.888705,1,police,11524,192.1
131,crime,19.126509,72.814752,6,hospital,681,11.4
132,crime,19.084419,72.877324,2,police,166,2.8
133,hospital,19.039777,72.813629,5,hospital,818,13.6
134,crime,19.029686,72.92938,2,police,669,11.2
135,hospital,18.957291,72.865751,1,police,1673,27.9
136,fire,19.005731,72.887314,5,hospital,766,12.8
137,hospital,18.908001,72.972315,8,hospital,1396,23.3
138,crime,19.063186,72.925482,2,police,412,6.9
